Date,Open,High,Low,Close,Volume
2023-02-27,199,199,191,191,382
2023-02-28,200,205,191.5,199,1332
2023-03-01,190,205,190,204,170
2023-03-02,203,203,198,198,43
2023-03-03,197,200,197,198,141
2023-03-06,200,203,200,200,129
2023-03-07,204,205,203,203,223
2023-03-08,205,206,205,206,56
2023-03-09,207,240,207,212,193
2023-03-10,212,212,206,212,85
2023-03-13,206,215,205,215,591
2023-03-14,215,225,215,220,65
2023-03-15,220,225,219,220,130
2023-03-16,228,273,228,255,490
