Date,Open,High,Low,Close,Adj Close,Volume
2011-01-10,8.010000,8.250000,7.650000,7.950000,7.950000,5192
2011-01-17,7.990000,9.500000,7.950000,8.700000,8.700000,44320
2011-01-24,8.750000,11.800000,8.750000,10.690000,10.690000,76434
2011-01-31,10.700000,11.520000,10.010000,11.350000,11.350000,25071
2011-02-07,11.270000,12.000000,10.280000,11.250000,11.250000,31600
2011-02-14,11.100000,11.110000,9.400000,9.800000,9.800000,29534
2011-02-21,9.500000,10.500000,9.000000,10.200000,10.200000,24006
2011-02-28,10.500000,11.450000,10.000000,11.390000,11.390000,33229
2011-03-07,11.560000,11.560000,10.900000,11.300000,11.300000,12458
2011-03-14,11.300000,18.610001,11.000000,17.500000,17.500000,109748
2011-03-21,17.600000,26.440001,17.600000,23.559999,23.559999,198410
2011-03-28,24.000000,26.490000,19.500000,24.000000,24.000000,109846
2011-04-04,24.900000,25.850000,22.799999,24.000000,24.000000,41666
2011-04-11,24.500000,24.500000,19.570000,22.500000,22.500000,53267
2011-04-18,22.850000,22.850000,18.549999,18.850000,18.850000,27718
2011-04-25,18.850000,19.480000,16.500000,18.299999,18.299999,46821
2011-05-02,18.219999,18.250000,15.520000,16.440001,16.440001,25909
2011-05-09,16.440001,18.580000,15.830000,17.500000,17.500000,16586
2011-05-16,17.200001,17.900000,15.600000,16.250000,16.250000,14022
2011-05-23,16.170000,16.200001,14.560000,15.600000,15.600000,13223
2011-05-30,15.790000,15.790000,12.000000,13.250000,13.250000,18999
2011-06-06,12.500000,19.600000,12.390000,17.719999,17.719999,46453
2011-06-13,17.299999,19.200001,15.540000,16.230000,16.230000,21894
2011-06-20,16.400000,16.400000,13.800000,15.000000,15.000000,8939
2011-06-27,15.000000,15.390000,12.000000,14.900000,14.900000,29875
2011-07-04,14.700000,14.700000,13.010000,13.100000,13.100000,8817
2011-07-11,13.200000,14.100000,12.300000,13.430000,13.430000,10934
2011-07-18,13.450000,13.990000,12.700000,13.850000,13.850000,4516
2011-07-25,13.900000,15.000000,12.950000,13.090000,13.090000,12590
2011-08-01,13.500000,13.500000,8.300000,9.700000,9.700000,20423
2011-08-08,9.200000,14.200000,8.050000,13.600000,13.600000,44065
2011-08-15,13.600000,13.770000,9.210000,11.000000,11.000000,36752
2011-08-22,11.000000,11.300000,9.990000,10.800000,10.800000,25724
2011-08-29,10.800000,10.810000,9.630000,9.800000,9.800000,17196
2011-09-05,9.780000,9.780000,8.030000,9.280000,9.280000,10917
2011-09-12,8.610000,8.610000,7.510000,8.450000,8.450000,15837
2011-09-19,8.510000,8.550000,6.500000,7.150000,7.150000,11082
2011-09-26,7.140000,8.000000,6.200000,7.100000,7.100000,12185
2011-10-03,7.000000,7.460000,6.500000,7.200000,7.200000,16431
2011-10-10,7.480000,9.200000,7.480000,8.350000,8.350000,25477
2011-10-17,8.550000,8.700000,7.900000,8.450000,8.450000,5183
2011-10-24,8.500000,8.500000,8.000000,8.320000,8.320000,12040
2011-10-31,8.320000,9.900000,8.320000,8.710000,8.710000,11941
2011-11-07,8.800000,9.100000,7.500000,8.400000,8.400000,5378
2011-11-14,8.450000,16.799999,8.450000,11.800000,11.800000,196813
2011-11-21,11.700000,12.990000,10.200000,10.780000,10.780000,54957
2011-11-28,10.690000,12.200000,10.050000,10.910000,10.910000,42725
2011-12-05,10.900000,10.910000,9.750000,10.510000,10.510000,9561
2011-12-12,10.500000,11.000000,10.200000,10.320000,10.320000,5854
2011-12-19,10.260000,10.800000,9.440000,10.000000,10.000000,11533
2011-12-26,10.000000,10.200000,9.600000,9.800000,9.800000,4850
2012-01-02,9.710000,10.000000,9.580000,10.000000,10.000000,4008
2012-01-09,10.000000,11.400000,9.750000,10.310000,10.310000,8959
2012-01-16,10.350000,12.200000,10.350000,11.650000,11.650000,20688
2012-01-23,11.310000,13.500000,11.100000,12.000000,12.000000,29458
2012-01-30,12.010000,14.470000,11.400000,12.700000,12.700000,38456
2012-02-06,12.680000,14.390000,12.520000,14.000000,14.000000,24473
2012-02-13,13.900000,14.250000,11.600000,11.990000,11.990000,49546
2012-02-20,11.830000,11.850000,10.500000,11.000000,11.000000,14393
2012-02-27,11.000000,11.890000,10.950000,11.450000,11.450000,4132
2012-03-05,11.570000,11.660000,10.000000,10.500000,10.500000,23450
2012-03-12,10.900000,10.900000,10.210000,10.260000,10.260000,8016
2012-03-19,10.390000,10.450000,9.900000,10.070000,10.070000,7598
2012-03-26,10.080000,10.340000,9.000000,10.340000,10.340000,25210
2012-04-02,10.490000,10.700000,9.700000,9.700000,9.700000,6851
2012-04-09,9.700000,10.170000,9.570000,9.740000,9.740000,3890
2012-04-16,9.800000,11.930000,9.800000,11.450000,11.450000,44512
